GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC04_EST_VC01,HC01_EST_VC36,HC02_EST_VC36,HC04_EST_VC36,HC01_EST_VC37,HC02_EST_VC37,HC04_EST_VC37
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level
1400000US06073008358,06073008358,"Census Tract 83.58, San Diego County, California",6594,70.2,7.4,544,70.0,28.3,4173,87.0,5.4
1400000US06073008359,06073008359,"Census Tract 83.59, San Diego County, California",3641,77.9,7.9,291,51.2,27.5,2950,86.7,7.1
1400000US06073008360,06073008360,"Census Tract 83.60, San Diego County, California",5474,76.2,6.4,299,45.5,0.0,4285,84.5,6.9
1400000US06073008361,06073008361,"Census Tract 83.61, San Diego County, California",2129,76.3,2.8,425,49.6,0.0,1442,94.5,3.3
1400000US06073008362,06073008362,"Census Tract 83.62, San Diego County, California",2852,68.9,5.6,615,41.8,9.3,1812,87.2,4.2
1400000US06073008363,06073008363,"Census Tract 83.63, San Diego County, California",4898,63.7,3.2,1437,37.6,6.7,2874,84.6,2.6
1400000US06073008364,06073008364,"Census Tract 83.64, San Diego County, California",5046,70.6,3.7,1136,56.1,4.4,3462,82.5,3.6
1400000US06073008365,06073008365,"Census Tract 83.65, San Diego County, California",2470,69.7,6.5,88,52.3,47.8,1992,80.0,5.6
1400000US06073008366,06073008366,"Census Tract 83.66, San Diego County, California",4640,71.4,7.3,103,44.7,0.0,3745,81.9,6.4
1400000US06073008501,06073008501,"Census Tract 85.01, San Diego County, California",4504,69.1,7.5,361,69.0,7.6,3137,84.5,6.2
1400000US06073008502,06073008502,"Census Tract 85.02, San Diego County, California",5313,65.9,9.3,248,59.3,76.2,3841,84.1,6.6
1400000US06073008503,06073008503,"Census Tract 85.03, San Diego County, California",5420,74.1,10.3,241,70.1,74.0,4002,87.8,6.0
1400000US06073008504,06073008504,"Census Tract 85.04, San Diego County, California",5014,64.0,5.9,314,56.4,6.5,3290,83.1,3.2
1400000US06073008505,06073008505,"Census Tract 85.05, San Diego County, California",5382,69.0,12.6,635,42.4,6.3,3813,86.0,13.5
1400000US06073008506,06073008506,"Census Tract 85.06, San Diego County, California",3819,66.4,3.6,330,52.1,15.1,2755,79.2,2.5
1400000US06073008507,06073008507,"Census Tract 85.07, San Diego County, California",6724,66.3,6.4,846,54.8,22.2,4364,84.6,3.4
1400000US06073008509,06073008509,"Census Tract 85.09, San Diego County, California",6532,65.5,10.4,477,45.9,24.7,4425,82.6,8.7
1400000US06073008510,06073008510,"Census Tract 85.10, San Diego County, California",6128,65.1,8.4,663,50.8,37.7,3894,84.8,5.6
